期数,序列数,BV号,视频标题,作者,播放量,点赞数,弹幕数,评论数,收藏数,分享数
345,1,BV1YosEzWERA,影视飓风VS雀巢，去千万粉丝博主的公司里躲猫猫！,飓多多StormCrew,7531767,485617,20907,5797,162369,12919
345,2,BV1nbsdzMEoz,机  乐  净  土,NJU-Robotics,3475012,268897,37844,10254,29331,62137
345,3,BV133xFzKEsd,洋人丢的电子垃圾，都去哪了？,影视飓风,6564644,498642,40341,16749,144535,44704
345,4,BV1xzs1zDEFi,《崩坏：星穹铁道》千星纪游PV：「故事之外：第8场」,崩坏星穹铁道,6325892,358898,171444,51962,104230,97256
345,5,BV1CMyrBPEC6,《大家一起变橙汁》完整版，从绝望到希望的一集，大家一起喜洋洋,柠小檬Max,2193119,294783,16547,5217,102411,44414
345,6,BV1bhspzoENJ,你被困在2025年10月25日（全新9个循环）,GoldenEggs,4088533,156861,166752,21480,135741,28479
345,7,BV1tVsHznELh,大圣深夜崩溃，悲情演唱《美猴亡》,漫游会议室,9572292,422584,7817,15826,190906,70054
345,8,BV1AtyBB9EFw,《鸣潮》共鸣者「仇远」PV | 师父,鸣潮,3048910,154311,16424,24448,39688,49902
345,9,BV1DXsZzbE8h,时代的狂，挖掘的王！我造出了终极乐高斗轮挖掘机！,炒蛋车间长,7804704,330433,5399,3343,207802,11630
345,10,BV18EsDzzEz5,抱歉，久等了！《没出息》原作最终版首发，听哭了。,音乐人王搏,2761328,204726,5486,5902,57163,18667
345,11,BV17fyzBHEe6,哈哈哈哈哈水弹挑战,牛小豪吖,16060964,331411,3510,2837,164322,14155
345,12,BV1J5smz1ENG,他的声音可能涵盖过你的幼年、少年、青年，甚至中年。评论区见！,痞老板配音贾小军,6196016,428389,75331,6423,178355,12024
345,13,BV1iLsnzFE7C,ding！！！！！！！！,高斯Goh,2930193,237171,24814,3436,82888,3752
345,14,BV1Ddy6BGEcL,【2025王者荣耀共创之夜】晚会完整回放,王者荣耀,10014618,291455,19499,9846,72790,12167
345,15,BV1w2yUBHENV,离开赛场，下一站去哪?丨深度对话Uzi·十年之约,-LKs-,2382333,61510,7201,14090,11684,8496
345,16,BV1fps7zoE8c,谁是乌兹别克的可汗？【神奇组织41】,小约翰可汗,3993225,191547,22815,8482,45865,6520
345,17,BV1riyhBNErP,【2025全球总决赛】10月30日 G2 vs TES,哔哩哔哩英雄联盟赛事,3592997,18181,19282,11711,2358,835
345,18,BV1hEyYBsE1S,“十五五规划”建议公布，2035年达成中等发达国家水平,麻薯波比呀,2226720,147640,24526,6400,37986,11136
345,19,BV1UtsEzVEwF,这还是美国吗？给我干哪来了｜新奥尔良,小鹿Lawrence,3688685,57502,4346,1122,18734,3535
345,20,BV14zspzHEwL,【教程】这就是当年数学老师眼中的几何吗,轻语的DIY日常,3372676,217100,860,3335,188615,6155
345,21,BV1xjsHzEExk,乱不爆、穷不垮、政变干不掉，92岁总统裱糊绝技【中非05丨喀麦隆】,小王Albert,1771397,72907,2319,1926,12424,1261
345,22,BV19ZxPzJE5j,赞美EVA！如此争议三十年！《新世纪福音战士》为何有如此魔力？【第九放映室】,瓶子君152,1076989,82990,2529,8429,29457,8342
345,23,BV1pPsizXEri,动画短片《明天世界你依旧 沙奈朵》公开！,Pokemon宝可梦,1275216,63343,4287,6151,32274,25414
345,24,BV1v9sXzWEAj,菲幂无语，楚曦争c，刘冲得罪全内娱，丑衣汇聚梗密集【窝瓜VOGUE盛典笑料盘点】,一只吐槽圆,2772143,54374,8110,3292,9406,3745
345,25,BV1HosbzPEw4,【1028公测开启】《二重螺旋》赛琪PV | 愿百合永不凋零,二重螺旋,3990517,70024,3465,12807,31933,2483
345,26,BV12AsBzwE7n,北京街道合法赛车！我们采访到了中国赛车“第一人”程丛夫,闫闯说车,4319123,21130,272,461,2735,608
345,27,BV14oymBREqu,给女友出片这玩意儿是全世界统一的吗？！？！,李如儒也是李蠕蠕,3596486,299534,1359,5169,32844,9676
345,28,BV1XKySBqEqp,陈翔六点半:声画不同步的孙媳妇,陈翔六点半,6843494,97177,2091,2249,21787,9990
345,29,BV1MEy6BBE1u,“拓海”换电车了？这豆腐送得也太快了,玩车日志CarsJournal,1780608,8969,506,235,4079,430
345,30,BV1mLySBhEvJ,为了方便大家出行，他竟然独自修了一条隧道,我是凡人繁星,2038668,391201,6425,8389,47345,5153
345,31,BV147s2z9EKm,一边是天堂，一边是地狱，菲律宾贫富差距到底有多夸张？太魔幻了。,20岁了还没去过星巴克,9101214,228906,20638,15225,72211,19226
345,32,BV1zbsHzMEmp,“11.11”五款热门游戏平板选购指南 | 既要生产力 更能玩游戏「科技美学体验」,科技美学,3261488,16833,300,860,2232,483
